天門冬,천문동
枯黃芩,고황금
艾納香,애납향
黃米,황미
硫黃末,유황말
鷹屎白,응시백
蘇木節,소목절
馬鞭草,마편초
猪腎,저신
甛瓜子,첨과자
黃鐵石,황철석
旋葍花,선복화
猪懸蹄,저현제
白蘆甘石,백노감석
巴戟肉,파극육
玄精石,현정석
鷄冠血,계관혈
天竹黃,천죽황
豬脂油,저지유
車前草,차전초
覆盆子葉,복분자엽
蠶砂,잠사
楮枝,저지
甘土,감토
象皮,상피
鳳仙,봉선
小薊根,소계근
蒲黃草,포황초
褌襠,곤당
小麥麴,소맥국
黑炭,흑탄
纏豆藤,전두등
金銀花,금은화
忍冬草,인동초
海昆布,해곤포
蘇枋木,소방목
松蘿,송나
烏鷄,오계
江鰾,강표
鷄子殼,계자각
茅朮,모출
鵝管石,아관석
淡菜,담채
栗皮,율피
細榧肉,세비육
徽墨,휘묵
山楂,산사
酸漿,산장
肉蔲,육구
柏實,백실
松花,송화
杵糠,저강
水馬,수마
狗膽,구담
楊柳,양유
鉛霜,연상
香墨,향묵
黃明膠,황명교
靑布,청포
男子裩布,남자곤포
百齒霜,백치상
鹽豉,염시
光粉,광분
鱖魚,궐어
